time,top,top_middle,bottom_middle,bottom
1708219082,0,1,46,425
1708219083,1,0,79,441
1708219083,0,0,120,372
1708219083,0,0,159,274
1708219083,0,0,230,246
1708219083,0,145,208,250
1708219083,0,205,288,267
1708219083,0,220,330,288
1708219083,0,196,317,288
1708219083,0,216,350,296
1708219083,0,263,257,256
1708219084,0,273,267,291
1708219084,0,292,286,270
1708219084,0,154,281,301
1708219084,0,90,302,313
1708219084,0,0,272,277
1708219084,1,0,190,257
1708219084,0,0,120,342
1708219084,0,0,71,372
1708219084,1,0,21,289
1708219084,1,0,0,318
1708219085,0,0,0,324
1708219085,0,0,0,311
1708219085,1,0,1,207
1708219085,0,0,0,136
1708219085,0,0,0,0
1708219085,0,0,0,1
1708219085,0,0,0,0
1708219085,0,0,0,0
1708219085,0,0,0,0
1708219085,0,0,0,0
1708219086,0,48,0,0
1708219086,0,47,0,0
1708219086,0,0,0,0
1708219086,0,0,0,0
1708219086,0,1,0,2
1708219086,0,0,0,0
1708219086,0,0,0,0
1708219086,0,0,1,0
1708219086,0,0,0,0
1708219086,0,0,0,0
1708219087,0,0,0,0
1708219087,0,0,0,0
1708219087,0,0,0,0
1708219087,0,1,0,0
1708219087,0,0,0,186
1708219087,0,0,0,302
1708219087,0,0,59,329
1708219087,0,0,174,319
1708219087,0,0,173,249
1708219087,0,0,181,205
1708219088,0,0,141,183
1708219088,1,0,139,194
1708219088,1,0,172,199
1708219088,0,2,144,213
1708219088,0,0,132,204
1708219088,0,0,114,189
1708219088,0,0,85,142
1708219088,0,0,102,109
1708219088,0,0,82,109
1708219088,0,0,40,120
1708219089,0,0,36,123
1708219089,2,0,54,161
1708219089,0,1,37,148
1708219089,0,0,36,106
1708219089,1,0,63,62
1708219089,0,0,35,80
1708219089,0,0,26,29
1708219089,0,0,17,0
1708219089,0,0,0,0
1708219089,1,0,0,0
1708219090,0,0,0,0
1708219090,0,0,0,0
1708219090,0,0,30,64
1708219090,0,0,36,89
1708219090,0,0,123,134
1708219090,1,1,99,210
1708219090,0,0,134,311
1708219090,0,1,190,269
1708219090,2,0,150,257
1708219090,0,0,173,251
1708219091,1,0,141,259
1708219091,0,0,139,241
1708219091,0,0,128,274
1708219091,0,0,125,296
1708219091,1,0,66,318
1708219091,0,0,61,335
1708219091,0,0,54,331
1708219091,0,0,15,274
1708219091,0,0,0,289
1708219091,0,0,0,212
1708219092,0,0,1,210
1708219092,0,0,0,202
1708219092,1,0,43,239
1708219092,0,1,139,194
1708219092,1,0,141,166
1708219092,0,1,185,147
1708219092,0,0,153,139
1708219092,0,0,158,128
1708219092,0,0,131,110
1708219093,1,0,120,124
1708219093,0,0,66,103
1708219093,0,0,65,113
1708219093,0,0,106,129
1708219093,0,1,111,130
1708219093,0,0,80,134
1708219093,0,0,108,119
1708219093,0,0,116,135
1708219093,0,2,111,137
1708219093,0,0,117,176
1708219094,0,0,114,192
1708219094,0,0,73,189
1708219094,0,0,0,169
1708219094,0,0,0,138
1708219094,0,0,0,148
1708219094,1,0,0,152
1708219094,0,2,0,134
1708219094,0,0,0,145
1708219094,1,0,0,148
1708219094,1,1,99,177
1708219095,0,0,94,187
1708219095,0,0,160,192
1708219095,0,0,137,225
1708219095,0,1,104,213
1708219095,0,0,124,214
1708219095,0,1,91,201
1708219095,0,1,82,142
1708219095,0,0,1,56
1708219095,0,0,0,40
1708219095,0,0,58,0
1708219096,0,0,107,0
1708219096,0,0,174,0
1708219096,0,0,163,0
1708219096,1,0,147,0
1708219096,0,0,161,0
1708219096,0,0,148,0
1708219096,0,0,307,0
1708219096,0,0,360,0
1708219096,0,0,414,0
1708219096,0,0,328,0
1708219097,0,0,155,1
1708219097,1,0,108,0
1708219097,0,0,130,67
